Authors;Title;Year;Source title;Volume;Issue;Art. No.;Page start;Page end;Page count;DOI;Link;Abstract;Author Keywords;Document Type;Source;include;tracer;mechanisms_glomalin_etc;diversity_ecology;climate_action;new_methods;search;ecoregion_Bailey;landcover_8_clases_ESA;plant_functional_type;woody_herbaceous;plant_genus;plant_spp;plant_cv;needle_broad;symbiont_functional_type;symbiont_genus;symbiont_spp_isolate;method;label_pulse;label_chase;CO2_conc;pot_field;FACE;n;lat;long;colonization_perc;hypha_cm_g;temp_C;light_umol_m2_s;C_hypha_perc;C_hypha_perc_se;notes;soil-based_hyphalC;SOUNDBITE;;
Dalling J.W., Heineman K., Gonz lez G., Ostertag R.;Geographic, environmental and biotic sources of variation in the nutrient relations of tropical montane forests;2016;Journal of Tropical Ecology;32;5;;368;383;;10.1017/S0266467415000619;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947791730&doi=10.1017%2fS0266467415000619&partnerID=40&md5=e0ed7d47ed5c95027541f403553ed634;Tropical montane forests (TMF) are associated with a widely observed suite of characteristics encompassing forest structure, plant traits and biogeochemistry. With respect to nutrient relations, montane forests are characterized by slow decomposition of organic matter, high investment in below-ground biomass and poor litter quality, relative to tropical lowland forests. However, within TMF there is considerable variation in substrate age, parent material, disturbance and species composition. Here we emphasize that many TMFs are likely to be co-limited by multiple nutrients, and that feedback among soil properties, species traits, microbial communities and environmental conditions drive forest productivity and soil carbon storage. To date, studies of the biogeochemistry of montane forests have been restricted to a few, mostly neotropical, sites and focused mainly on trees while ignoring mycorrhizas, epiphytes and microbial community structure. Incorporating the geographic, environmental and biotic variability in TMF will lead to a greater recognition of plant-soil feedbacks that are critical to understanding constraints on productivity, both under present conditions and under future climate, nitrogen-deposition and land-use scenarios. ? Cambridge University Press 2015.;"altitude; disturbance; elevation; fertilization; mycorrhizas; nutrient limitation; plant-soil feedbacks; productivity; soil fertility; topography";Article;Scopus;n;n;n;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tupek B., Ortiz C.A., Hashimoto S., Stendahl J., Dahlgren J., Karltun E., Lehtonen A.;Underestimation of boreal soil carbon stocks by mathematical soil carbon models linked to soil nutrient status;2016;Biogeosciences;13;15;;4439;4459;;10.5194/bg-13-4439-2016;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981489631&doi=10.5194%2fbg-13-4439-2016&partnerID=40&md5=3249ee06cf6a660417fd8d57efbf6df4;Inaccurate estimate of the largest terrestrial carbon pool, soil organic carbon (SOC) stock, is the major source of uncertainty in simulating feedback of climate warming on ecosystem-atmosphere carbon dioxide exchange by process-based ecosystem and soil carbon models. Although the models need to simplify complex environmental processes of soil carbon sequestration, in a large mosaic of environments a missing key driver could lead to a modeling bias in predictions of SOC stock change.We aimed to evaluate SOC stock estimates of process-based models (Yasso07, Q, and CENTURY soil sub-model v4) against a massive Swedish forest soil inventory data set (3230 samples) organized by a recursive partitioning method into distinct soil groups with underlying SOC stock development linked to physicochemical conditions.For two-thirds of measurements all models predicted accurate SOC stock levels regardless of the detail of input data, e.g., whether they ignored or included soil properties. However, in fertile sites with high N deposition, high cation exchange capacity, or moderately increased soil water content, Yasso07 and Q models underestimated SOC stocks. In comparison to Yasso07 and Q, accounting for the site-specific soil characteristics (e. g. clay content and topsoil mineral N) by CENTURY improved SOC stock estimates for sites with high clay content, but not for sites with high N deposition.Our analysis suggested that the soils with poorly predicted SOC stocks, as characterized by the high nutrient status and well-sorted parent material, indeed have had other predominant drivers of SOC stabilization lacking in the models, presumably the mycorrhizal organic uptake and organo-mineral stabilization processes. Our results imply that the role of soil nutrient status as regulator of organic matter mineralization has to be re-evaluated, since correct SOC stocks are decisive for predicting future SOC change and soil CO2 efflux. ? 2016 Author(s).;;Article;Scopus;n;n;n;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Averill C., Hawkes C.V.;Ectomycorrhizal fungi slow soil carbon cycling;2016;Ecology letters;19;8;;937;947;;10.1111/ele.12631;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978116698&doi=10.1111%2fele.12631&partnerID=40&md5=d42322c9fcf412a50322e216fec908e6;Respiration of soil organic carbon is one of the largest fluxes of CO2 on earth. Understanding the processes that regulate soil respiration is critical for predicting future climate. Recent work has suggested that soil carbon respiration may be reduced by competition for nitrogen between symbiotic ectomycorrhizal fungi that associate with plant roots and free-living microbial decomposers, which is consistent with increased soil carbon storage in ectomycorrhizal ecosystems globally. However, experimental tests of the mycorrhizal competition hypothesis are lacking. Here we show that ectomycorrhizal roots and hyphae decrease soil carbon respiration rates by up to 67% under field conditions in two separate field exclusion experiments, and this likely occurs via competition for soil nitrogen, an effect larger than 2ÿøC soil warming. These findings support mycorrhizal competition for nitrogen as an independent driver of soil carbon balance and demonstrate the need to understand microbial community interactions to predict ecosystem feedbacks to global climate. ? 2016 John Wiley & Sons Ltd/CNRS.;"Biogeochemistry; ecosystem ecology; mycorrhizal fungi; soil carbon; soil ecology; soil nitrogen";Letter;Scopus;n;n;n;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Davidson B.E., Novak S.J., Serpe M.D.;Consequences of inoculation with native arbuscular mycorrhizal fungi for root colonization and survival of Artemisia tridentata ssp. wyomingensis seedlings after transplanting;2016;Mycorrhiza;26;6;;595;608;;10.1007/s00572-016-0696-1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963655312&doi=10.1007%2fs00572-016-0696-1&partnerID=40&md5=5d1547b9ad2185ae5d3928e464e95468;"In arid environments, the propagule density of arbuscular mycorrhizal fungi (AMF) may limit the extent of the plant?AMF symbiosis. Inoculation of seedlings with AMF could alleviate this problem, but the success of this practice largely depends on the ability of the inoculum to multiply and colonize the growing root system after transplanting. These phenomena were investigated in Artemisia tridentata ssp. wyomingensis (Wyoming big sagebrush) seedlings inoculated with native AMF. Seedlings were first grown in a greenhouse in soil without AMF (non-inoculated seedlings) or with AMF (inoculated seedlings). In spring and fall, 3-month-old seedlings were transplanted outdoors to 24-L pots containing soil from a sagebrush habitat (spring and fall mesocosm experiments) or to a recently burned sagebrush habitat (spring and fall field experiments). Five or 8ÿmonths after transplanting, colonization was about twofold higher in inoculated than non-inoculated seedlings, except for the spring field experiment. In the mesocosm experiments, inoculation increased survival during the summer by 24ÿ% (p = 0.011). In the field experiments, increased AMF colonization was associated with increases in survival during cold and dry periods; 1ÿyear after transplanting, survival of inoculated seedlings was 27ÿ% higher than that of non-inoculated ones (p &lt; 0.001). To investigate possible mechanisms by which AMF increased survival, we analyzed water use efficiency (WUE) based on foliar 13C/12C isotope ratios (ë 13C). A positive correlation between AMF colonization and ë 13C values was observed in the spring mesocosm experiment. In contrast, inoculation did not affect the ë 13C values of fall transplanted seedlings that were collected the subsequent spring. The effectiveness of AMF inoculation on enhancing colonization and reducing seedling mortality varied among the different experiments, but average effects were estimated by meta-analyses. Several months after transplanting, average AMF colonization was in proportion 84ÿ% higher in inoculated than non-inoculated seedlings (p = 0.0042), while the average risk of seedling mortality was 42ÿ% lower in inoculated than non-inoculated seedlings (p = 0.047). These results indicate that inoculation can increase AMF colonization over the background levels occurring in the soil, leading to higher rates of survival. ? 2016, Springer-Verlag Berlin Heidelberg.";"Arbuscular mycorrhizal fungi; Artemisia tridentata; Sagebrush steppe; Seedling establishment; Shrublands";Article;Scopus;n;n;n;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Potapov A.M., Goncharov A.A., Tsurikov S.M., Tully T., Tiunov A.V.;Assimilation of plant-derived freshly fixed carbon by soil collembolans: Not only via roots?;2016;Pedobiologia;59;4;;189;193;;10.1016/j.pedobi.2016.07.002;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977650298&doi=10.1016%2fj.pedobi.2016.07.002&partnerID=40&md5=a73b369dd63bb228a38fd47091b36eb7;Large amounts of freshly fixed carbon in forest ecosystems are allocated belowground and fuel soil food webs. This supply is usually generalized as the ?root carbon?, but particular pathways by which freshly fixed carbon is assimilated by soil animals remain poorly understood. We followed the appearance of the isotopic label in springtails inhabiting different layers of soil and litter (euedaphic, hemiedaphic and epigeic life forms) after in situ pulse-labelling of spruce trees with 13C[sbnd]CO2. Isotopic label was most frequently observed in euedaphic Collembola (26% of all samples), mainly in Protaphorura armata. The label was very rare in litter-dwelling (hemiedaphic) species (4%). Surprisingly, the label was often observed in epigeic Collembola (11%). During the period of 44 days after labelling, the proportion of labelled samples increased with time in euedaphic, but not in epigeic species, suggesting that freshly fixed carbon is assimilated by these collembolan groups via different pathways. Most likely, euedaphic species are trophically linked to plant roots, whereas epigeic species receive freshly fixed carbon from aboveground. The exact mechanisms and potential importance of the latter pathway should be evaluated in further research. ? 2016 Elsevier GmbH;"Belowground C allocation; Euedaphic and epigeic collembola; Honeydew; Mycorrhizal fungi; Soil food webs; Stable isotope analysis";Article;Scopus;n;n;n;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Terrer C., Vicca S., Hungate B.A., Phillips R.P., Prentice I.C.;Mycorrhizal association as a primary control of the CO2 fertilization effect;2016;Science;353;6294;;72;74;;10.1126/science.aaf4610;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976904221&doi=10.1126%2fscience.aaf4610&partnerID=40&md5=3fdb7b17f7c53bd29826eba959a74985;"Plants buffer increasing atmospheric carbon dioxide (CO2 ) concentrations through enhanced growth, but the question whether nitrogen availability constrains the magnitude of this ecosystem service remains unresolved. Synthesizing experiments from around the world, we show that CO2 fertilization is best explained by a simple interaction between nitrogen availability and mycorrhizal association. Plant species that associate with ectomycorrhizal fungi show a strong biomass increase (30 ñ 3%, P &lt; 0.001) in response to elevated CO2 regardless of nitrogen availability, whereas low nitrogen availability limits CO2 fertilization (0 ñ 5%, P = 0.946) in plants that associate with arbuscular mycorrhizal fungi. The incorporation of mycorrhizae in global carbon cycle models is feasible, and crucial if we are to accurately project ecosystem responses and feedbacks to climate change.";;Article;Scopus;n;n;n;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maurer G.E., Chan A.M., Trahan N.A., Moore D.J.P., Bowling D.R.;Carbon isotopic composition of forest soil respiration in the decade following bark beetle and stem girdling disturbances in the Rocky Mountains;2016;Plant Cell and Environment;39;7;;1513;1523;;10.1111/pce.12716;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964587170&doi=10.1111%2fpce.12716&partnerID=40&md5=f641486be344d823043d43f623b24bb6;"Bark beetle outbreaks are widespread in western North American forests, reducing primary productivity and transpiration, leading to forest mortality across large areas and altering ecosystem carbon cycling. Here the carbon isotope composition (ë13C) of soil respiration (ëJ) was monitored in the decade after disturbance for forests affected naturally by mountain pine beetle infestation and artificially by stem girdling. The seasonal mean ëJ changed along both chronosequences. We found (a) enrichment of ëJ relative to controls (&lt;1 ?) in near-surface soils in the first 2 years after disturbance; (b) depletion (1? or no change) during years 3?7; and (c) a second period of enrichment (1?2?) in years 8?10. Results were consistent with isotopic patterns associated with the gradual death and decomposition of rhizosphere organisms, fine roots, conifer needles and woody roots and debris over the course of a decade after mortality. Finally, ëJ was progressively more 13C-depleted deeper in the soil than near the surface, while the bulk soil followed the well-established pattern of 13C-enrichment at depth. Overall, differences in ëJ between mortality classes (&lt;1?) and soil depths (&lt;3?) were smaller than variability within a class or depth over a season (up to 6?). ? 2016 The Authors. Plant, Cell and Environment published by John Wiley & Sons Ltd";"Abies lasiocarpa; carbon cycle; chronosequence; decomposition; Dendroctonus ponderosae; Picea engelmannii; Pinus contorta";Article;Scopus;n;n;n;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rojas X., Guo J., Leff J.W., McNear D.H., Jr., Fierer N., McCulley R.L.;Infection with a Shoot-Specific Fungal Endophyte (Epichlo‰) Alters Tall Fescue Soil Microbial Communities;2016;Microbial Ecology;72;1;;197;206;;10.1007/s00248-016-0750-8;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961198890&doi=10.1007%2fs00248-016-0750-8&partnerID=40&md5=e2824861152d000aa97391e717b1bd52;Tall fescue (Schedonorus arundinaceus) is a widespread grass that can form a symbiotic relationship with a shoot-specific fungal endophyte (Epichlo‰ coenophiala). While the effects of fungal endophyte infection on fescue physiology and ecology have been relatively well studied, less attention has been given to how this relationship may impact the soil microbial community. We used high-throughput DNA sequencing and phospholipid fatty acid analysis to determine the structure and biomass of microbial communities in both bulk and rhizosphere soils from tall fescue stands that were either uninfected with E. coenophiala or were infected with the common toxic strain or one of several novel strains of the endophyte. We found that rhizosphere and bulk soils harbored distinct microbial communities. Endophyte presence, regardless of strain, significantly influenced soil fungal communities, but endophyte effects were less pronounced in prokaryotic communities. E. coenophiala presence did not change total fungal biomass but caused a shift in soil and rhizosphere fungal community composition, increasing the relative abundance of taxa within the Glomeromycota phylum and decreasing the relative abundance of genera in the Ascomycota phylum, including Lecanicillium, Volutella, Lipomyces, Pochonia, and Rhizoctonia. Our data suggests that tripartite interactions exist between the shoot endophyte E. coenophiala, tall fescue, and soil fungi that may have important implications for the functioning of soils, such as carbon storage, in fescue-dominated grasslands. ? 2016, Springer Science+Business Media New York.;"Epichlo‰ coenophiala; Mycorrhizae; Neotyphodium; Plant-microbe interactions; Schedonorus arundinaceus; Soil microbes";Article;Scopus;n;n;n;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Teramoto M., Wu B., Hogetsu T.;Pathway and sink activity for photosynthate translocation in Pisolithus extraradical mycelium of ectomycorrhizal Pinus thunbergii seedlings;2016;Mycorrhiza;26;5;;453;464;;10.1007/s00572-016-0684-5;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957625823&doi=10.1007%2fs00572-016-0684-5&partnerID=40&md5=c7a692cb6a9c11aa1cb107c4057aa533;The purpose of this study was to identify the pathway and sink activity of photosynthate translocation in the extraradical mycelium (ERM) of a Pisolithus isolate. We labelled ectomycorrhizal (ECM) Pinus thunbergii seedlings with 14CO2 and followed 14C distribution within the ERM by autoradiography. 14C photosynthate translocation in the ERM resulted in 14C distribution in rhizomorphs throughout the ERM, with 14C accumulation at the front. When most radial mycelial connections between ECM root tips and the ERM front were cut, the whole allocation of 14C photosynthates to the ERM was reduced. However, the overall pattern of 14C distribution in the ERM was maintained even in regions immediately above and below the cut, with no local 14C depletion or accumulation. We inferred from this result that every portion in the ERM has a significant sink activity and a definite sink capacity for photosynthates and that photosynthates detour the cut and reach throughout the ERM by translocation in every direction. Next, we prepared paired ECM seedlings, ERMs of which had been connected with each other by hyphal fusion, alongside, labelled the left seedling with 14CO2, and shaded none, one or both of them. 14C photosynthates were acropetally and basipetally translocated from the left ERM to ECM root tips of the right seedling through rhizomorphs in the left and right ERMs, respectively. With the left seedling illuminated, 14C translocation from the left to the right ERM increased by shading the right seedling. This result suggests that reduced photosynthate transfer from the host to its ERM increased sink activity of the ERM. 2016, Springer-Verlag Berlin Heidelberg.;"Acropetal and basipetal; Common mycelial network; Ectomycorrhizal symbiosis; Extramatrical mycelium; Soil nutrients";Article;Scopus;y;n;y;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Morales F., Antol¡n M.C., Aranjuelo I., Goicoechea N., Pascual I.;From vineyards to controlled environments in grapevine research: investigating responses to climate change scenarios using fruit-bearing cuttings;2016;Theoretical and Experimental Plant Physiology;28;2;;171;191;;10.1007/s40626-016-0065-7;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978141322&doi=10.1007%2fs40626-016-0065-7&partnerID=40&md5=1ac7f897fa71d5a1f2f0090dcdd15da6;This paper describes the use of fruit-bearing grapevine hardwood cuttings as a model system for grapevine research, translating some studies that are difficult to execute under field conditions in the vineyards to facilities under controlled conditions. This approach enables to simulate in greenhouses future climate conditions and to investigate putative responses of grapevine to climate change. An updated description of how to grow grapevine fruit-bearing cuttings is made, together with modifications to carry out studies of partial rootzone drying, regulated deficit irrigation studies and symbiosis with arbuscular mycorrhizal fungi. We summarize how extensive has been the use of fruit-bearing cuttings in grapevine research over the years, with special emphasis in those experiments that analyze the effects of factors related to climate change, such as elevated CO2, elevated temperature, water availability and UV-B radiation, on grapevine physiology, production and grape quality. A validation of the model is made, comparing results obtained with fruit-bearing cuttings with those obtained from vineyard-grown plants. We discuss some advantages of growing grapevines under elevated CO2 with an atmosphere depleted in 13C, using this stable isotope (13C) and others (15N, 54Fe or 57Fe, etc.) as tracers for C, N and other nutrient metabolism studies. ? 2016, Brazilian Society of Plant Physiology.;"Abiotic stress factors; Climate change scenarios; Fruit-bearing grapevine cuttings; Model grapevine system; Nutrient stable isotopes";Article;Scopus;n;n;n;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Yin K., Zhang L., Chen D., Tian Y., Zhang F., Wen M., Yuan C.;Understory herb layer exerts strong controls on soil microbial communities in subtropical plantations;2016;Scientific Reports;6;;27066;;;;10.1038/srep27066;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973301099&doi=10.1038%2fsrep27066&partnerID=40&md5=79cdb5707a84c317188891e67650418a;"The patterns and drivers of soil microbial communities in forest plantations remain inadequate although they have been extensively studied in natural forest and grassland ecosystems. In this study, using data from 12 subtropical plantation sites, we found that the overstory tree biomass and tree cover increased with increasing plantation age. However, there was a decline in the aboveground biomass and species richness of the understory herbs as plantation age increased. Biomass of all microbial community groups (i.e. fungi, bacteria, arbuscular mycorrhizal fungi, and actinomycete) decreased with increasing plantation age; however, the biomass ratio of fungi to bacteria did not change with increasing plantation age. Variation in most microbial community groups was mainly explained by the understory herb (i.e. herb biomass and herb species richness) and overstory trees (i.e. tree biomass and tree cover), while soils (i.e. soil moisture, soil organic carbon, and soil pH) explained a relative low percentage of the variation. Our results demonstrate that the understory herb layer exerts strong controls on soil microbial community in subtropical plantations. These findings suggest that maintenance of plantation health may need to consider the management of understory herb in order to increase the potential of plantation ecosystems as fast-response carbon sinks.";;Article;Scopus;n;n;n;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wang C.-G., Chen Z.-X., Ma C.-E., Lin G.-G., Han S.-J.;Three potential pathways influencing contrasting decomposition rates of fine roots;2016;Beijing Linye Daxue Xuebao/Journal of Beijing Forestry University;38;4;;123;128;;10.13332/j.1000-1522.20150437;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969786973&doi=10.13332%2fj.1000-1522.20150437&partnerID=40&md5=1fc8ff9cc002129b8e4ff5a211b043a4;Plant root decomposition is one of the critical processes of carbon and nutrient cycling in terrestrial ecosystems. Plant roots less than 2 mm in diameter constitute a heterogeneous branching system. Within the system, lower order roots (e.g. 1st-3rd order) or fine roots in smaller diameter (e.g. less than 0.5 mm in diameter) which mainly serve for water and nutrient uptake have fast turnover rates (0.5-2.5 times per year), and contribute greatly to soil carbon and nutrients pools. Recently, increasing number of studies have shown that lower order roots decompose more slowly than higher order roots (e.g. more than 3rd order) or fine roots in larger diameter (e.g. more than 0.5 mm in diameter) which mainly serve for water-nutrient transport and carbon storage. Here, we review three main factors explaining the contrasting decomposition rates across different root orders or diameter classes: mycorrhizal, carbon quality and nitrogen content. Overall, we intend to provide insights into the important roles of functional traits (e.g. diameter) of fine roots that play in ecosystem carbon and nutrient cycling in a changing world. ? 2016, Editorial Department of Journal of Beijing Forestry University. All right reserved.;"Carbon quality; Contrasting decomposition rate; Fine root; Mycorrhizal; Nitrogen content";Review;Scopus;n;n;n;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sochorov  L., Jansa J., Verbruggen E., Hejcman M., Schellberg J., Kiers E.T., Johnson N.C.;Long-term agricultural management maximizing hay production can significantly reduce belowground C storage;2016;Agriculture, Ecosystems and Environment;220;;;104;114;;10.1016/j.agee.2015.12.026;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955263402&doi=10.1016%2fj.agee.2015.12.026&partnerID=40&md5=7aa2eef38551131ffb3e9988d9222061;"Liming and fertilization of grasslands have been used for centuries to sustain hay production. Besides improving hay yields, these practices induce compositional shifts in plant and soil microbial communities, including symbiotic arbuscular mycorrhizal (AM) fungi. However, in spite of increasing interest in soil carbon (C) sequestration to offset anthropogenic CO2 emissions, little is known about the long-term effects of these agronomic interventions on soil C stocks. We examined how plants, AM fungi, and soil C respond to more than seven decades of annual applications of lime, mineral nitrogen (N), and mineral phosphorus (P) to test the hypotheses that (1) management practices increasing aboveground plant production decrease C allocation to roots, AM fungi and the soil; and (2) the relative availability of N and P predicts belowground C allocation in a consistent manner. Our study was conducted at the Rengen Grassland Experiment, established in 1941. Lime combined with N increased hay yields and promoted development of AM fungal hyphae in soil, while reducing relative C allocation to roots. Simultaneous enrichment of soil with lime, N, and P further boosted hay production, promoted grasses and suppressed other plant functional groups. This treatment also decreased soil organic C and strongly suppressed AM fungi in the soil, although the response to P varied among different AM fungal taxa. Our results indicate that agricultural management practices aimed at maximization of hay production may, in the long run, significantly (-20%) reduce belowground C storage. This is a great concern with respect to the intended use of grasslands as anthropogenic CO2 sinks because the fertilization-induced decrease in soil C stocks can partly or fully negate the C sequestration potential of the grassland ecosystems as a whole. ? 2016 Published by Elsevier B.V..";"Arbuscular mycorrhiza; Lime; Long term ecological research; Nitrogen; Phosphorus; Soil carbon";Article;Scopus;n;n;n;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wang F., Shi N., Jiang R., Zhang F., Feng G.;In situ stable isotope probing of phosphate-solubilizing bacteria in the hyphosphere;2016;Journal of Experimental Botany;67;6;;1689;1701;;10.1093/jxb/erv561;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962828457&doi=10.1093%2fjxb%2ferv561&partnerID=40&md5=4876790b80e925523a883c3b1acc5c0d;This study used a [13C]DNA stable isotope probing (SIP) technique to elucidate a direct pathway for the translocation of 13C-labeled photoassimilate from maize plants to extraradical mycelium-associated phosphate-solubilizing bacteria (PSB) that mediate the mineralization and turnover of soil organic phosphorus (P) in the hyphosphere. Inoculation with PSB alone did not provide any benefit to maize plants but utilized the added phytate-P to their own advantage, while inoculation with Rhizophagus irregularis alone significantly promoted shoot biomass and P content compared with the control. However, compared with both sole inoculation treatments, combined inoculation with PSB and R. Irregularis in the hyphosphere enhanced organic P mineralization and increased microbial biomass P in the soil. There was no extra benefit to plant P uptake but the hyphal growth of R. Irregularis was reduced, suggesting that PSB benefited from the arbuscular mycorrhizal (AM) fungal mycelium and competed for soil P with the fungus. The combination of T-RFLP (terminal restriction fragment length polymorphism) analysis with a clone library revealed that one of the bacteria that actively assimilated carbon derived from pulse-labeled maize plants was Pseudomonas alcaligenes (Pseudomonadaceae) that was initially inoculated into the hyphosphere soil. These results provide the first in situ demonstration of the pathway underlying the carbon flux from plants to the AM mycelium-associated PSB, and the PSB assimilated the photosynthates exuded by the fungus and promoted mineralization and turnover of organic P in the soil. ? The Author 2016. Published by Oxford University Press on behalf of the Society for Experimental Biology.;"13CO2 pulse labeling; AM fungus; hyphosphere; maize; organic phosphate; phosphate-solubilizing bacteria (PSB).";Article;Scopus;n;n;n;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
